Epoch,Batch,MSE,PSNR,SSIM
1,1,0.9058,6.2002,0.4756
1,2,0.9321,6.1020,0.4841
1,3,0.9184,6.1487,0.5084
1,4,0.8812,6.3088,0.5020
1,5,0.7975,6.7336,0.5989
1,6,0.6869,7.3670,0.6839
1,7,0.5824,8.1012,0.4657
1,8,0.5652,8.3267,0.5986
1,9,0.5334,8.6531,0.5722
1,10,0.3960,9.8031,0.5058
1,11,0.4755,9.2905,0.6942
1,12,0.3955,10.3721,0.4929
1,13,0.3605,10.6025,0.6601
1,14,0.2685,11.8314,0.6844
1,15,0.2874,11.9319,0.6038
1,16,0.2712,12.4798,0.5630
1,17,0.2863,12.4472,0.7675
1,18,0.2646,12.6400,0.7116
1,19,0.3722,11.2956,0.6408
1,20,0.2160,12.8282,0.7318
1,21,0.2076,14.1579,0.7563
1,22,0.4596,11.4570,0.8265
1,23,0.2967,12.8623,0.7632
1,24,0.1802,14.0987,0.8300
1,25,0.3501,12.4424,0.7483
2,1,0.2573,12.9753,0.7576
2,2,0.3587,13.1136,0.7441
2,3,0.2879,13.8942,0.7386
2,4,0.3975,11.7876,0.7094
2,5,0.2984,13.3742,0.7973
2,6,0.3484,12.5967,0.7413
2,7,0.3869,11.0787,0.7079
2,8,0.2459,13.4495,0.8894
2,9,0.2604,14.2056,0.8169
2,10,0.3738,13.2901,0.7155
2,11,0.2152,14.1641,0.8263
2,12,0.3765,11.6332,0.7850
2,13,0.2483,13.5106,0.7671
2,14,0.3242,12.6077,0.7880
2,15,0.2344,15.3821,0.8142
2,16,0.2848,14.6704,0.8409
2,17,0.2958,13.4613,0.6968
2,18,0.2723,14.0315,0.8258
2,19,0.2152,13.9351,0.8026
2,20,0.3337,12.5903,0.8550
2,21,0.3510,13.0351,0.8052
2,22,0.2062,15.2824,0.8568
2,23,0.2317,13.6755,0.7064
2,24,0.3048,12.9449,0.8269
2,25,0.2294,13.7379,0.6892
3,1,0.1970,14.8717,0.8365
3,2,0.4355,10.0277,0.8020
3,3,0.4446,11.6919,0.8286
3,4,0.5595,11.2956,0.7248
3,5,0.4518,10.0211,0.7811
3,6,0.4492,12.3014,0.7260
3,7,0.3126,12.2703,0.7358
3,8,0.2728,11.9385,nan
3,9,0.2253,13.7816,0.8142
3,10,0.1738,14.9338,0.8907
3,11,0.2040,15.8056,0.8513
3,12,0.2079,15.3452,0.8116
3,13,0.2674,13.6161,0.7263
3,14,0.1817,13.9412,0.7262
3,15,0.1420,16.3815,0.8547
3,16,0.1029,18.6638,0.8678
3,17,0.2804,13.9352,0.7195
3,18,0.2329,14.2350,0.7629
3,19,0.2195,12.7080,0.6995
3,20,0.2112,15.1211,0.8635
3,21,0.2166,14.9334,0.7720
3,22,0.2958,13.9443,0.7958
3,23,0.1342,17.2162,0.8759
3,24,0.1445,16.2610,0.8919
3,25,0.0696,18.7037,0.9137
4,1,0.2112,15.7023,0.8393
4,2,0.1080,19.8943,0.8962
