Folder,Image,MSE,PSNR,SSIM
1,1_010,0.0052,28.7672,0.9640
1,1_020,0.0048,29.1438,0.9636
1,1_030,0.0044,29.4805,0.9657
1,1_040,0.0021,32.7999,0.9827
1,1_050,0.0047,29.2222,0.9672
1,1_060,0.0039,29.9819,0.9770
1,1_070,0.0054,28.5973,0.9627
1,1_080,0.0003,40.8541,0.9886
1,1_090,0.0048,29.1061,0.9650
1,1_100,0.0011,35.3736,0.9797
2,2_010,0.0040,29.9473,0.9628
2,2_020,0.0181,23.3648,0.8791
2,2_030,0.0021,32.7873,0.9407
2,2_040,0.0091,26.3126,0.9026
2,2_050,0.0061,28.0976,0.9094
2,2_060,0.0042,29.7213,0.9439
2,2_070,0.0020,32.8449,0.9465
2,2_080,0.0075,27.2150,0.9243
2,2_090,0.0024,32.1347,0.9483
2,2_100,0.0105,25.7358,0.9120
3,3_010,0.0166,23.7194,0.9149
3,3_020,0.0167,23.6855,0.9028
3,3_030,0.0023,32.2417,0.9634
3,3_040,0.0209,22.7116,0.9115
3,3_050,0.0050,28.9914,0.9479
3,3_060,0.0008,36.8308,0.9679
3,3_070,0.0009,36.3817,0.9729
3,3_080,0.0013,34.8996,0.9618
3,3_090,0.0026,31.7130,0.9595
3,3_097,0.0016,33.8901,0.9525
4,4_010,0.0010,35.9008,0.9849
4,4_020,0.0005,39.3620,0.9856
4,4_030,0.0107,25.6759,0.9401
4,4_040,0.0092,26.2651,0.9450
4,4_050,0.0201,22.8881,0.8936
4,4_060,0.0028,31.5007,0.9780
4,4_070,0.0036,30.3538,0.9585
4,4_080,0.0078,27.0196,0.9411
4,4_090,0.0096,26.0925,0.9113
4,4_100,0.0009,36.4890,0.9829
5,5_010,0.0044,29.5257,0.9411
5,5_020,0.0060,28.1626,0.9334
5,5_030,0.0362,20.3634,0.8765
5,5_040,0.0093,26.2614,0.9240
5,5_050,0.0033,30.7734,0.9451
5,5_060,0.0125,24.9671,0.9204
5,5_070,0.0103,25.8372,0.9103
5,5_080,0.0054,28.6101,0.9365
5,5_090,0.0027,31.5828,0.9499
5,5_100,0.0031,30.9651,0.9497
6,6_010,0.0055,28.5193,0.9517
6,6_020,0.0007,37.8048,0.9803
6,6_030,0.0267,21.6485,0.8912
6,6_040,0.0066,27.7859,0.9621
6,6_050,0.0187,23.1997,0.8847
6,6_060,0.0239,22.1750,0.8998
6,6_070,0.0239,22.1289,0.9067
6,6_080,0.0369,20.2510,0.8631
6,6_090,0.0069,27.5210,0.9202
6,6_100,0.0062,27.9751,0.9181
7,7_010,0.0098,26.0250,0.9338
7,7_020,0.0029,31.3398,0.9669
7,7_030,0.0175,23.5098,0.8952
7,7_040,0.0419,19.6928,0.8722
7,7_050,0.0136,24.6207,0.9037
7,7_060,0.0122,25.0746,0.9222
7,7_070,0.0154,24.0649,0.9026
7,7_080,0.0141,24.4544,0.8820
7,7_090,0.0130,24.7629,0.9023
7,7_100,0.0080,26.9086,0.9187
8,8_010,0.0142,24.4217,0.9111
8,8_020,0.0277,21.5334,0.8677
8,8_030,0.0071,27.4164,0.9206
8,8_040,0.0064,27.8942,0.9113
8,8_050,0.0088,26.5000,0.9366
8,8_060,0.0060,28.2050,0.9194
8,8_070,0.0105,25.7305,0.8898
8,8_080,0.0063,27.9913,0.9009
8,8_090,0.0146,24.3027,0.9061
8,8_100,0.0011,35.3468,0.9716
11,11_010,0.0102,25.8651,0.9123
11,11_020,0.0026,31.7492,0.9442
11,11_030,0.0067,27.6601,0.9193
11,11_040,0.0123,25.0300,0.9023
11,11_050,0.0089,26.4138,0.9189
11,11_060,0.0072,27.3837,0.9232
11,11_070,0.0035,30.4974,0.9325
11,11_080,0.0071,27.4340,0.9230
11,11_090,0.0069,27.5135,0.9059
11,11_100,0.0093,26.2125,0.9010
13,13_010,0.0146,24.3232,0.9214
13,13_020,0.0132,24.7302,0.9369
13,13_030,0.0085,26.6771,0.9241
13,13_040,0.0109,25.5821,0.9033
13,13_050,0.0114,25.3819,0.9005
13,13_060,0.0108,25.6235,0.9282
13,13_070,0.0131,24.7862,0.9110
13,13_080,0.0105,25.7391,0.9268
13,13_090,0.0081,26.8415,0.9145
13,13_100,0.0157,23.9905,0.9079
16,16_010,0.0000,50.4368,0.9957
16,16_020,0.0021,32.5918,0.9740
16,16_030,0.0034,30.5240,0.9722
16,16_040,0.0010,36.0451,0.9849
16,16_050,0.0032,30.8198,0.9707
16,16_060,0.0006,38.3710,0.9879
16,16_070,0.0001,46.7341,0.9919
16,16_080,0.0001,44.7113,0.9885
16,16_090,0.0011,35.2806,0.9766
16,16_100,0.0001,47.2764,0.9929
17,17_010,0.0006,38.1092,0.9792
17,17_020,0.0002,43.0579,0.9874
17,17_030,0.0001,45.9564,0.9909
17,17_040,0.0002,43.0541,0.9835
17,17_050,0.0024,32.2276,0.9692
17,17_060,0.0017,33.6291,0.9776
17,17_070,0.0022,32.5232,0.9806
17,17_080,0.0032,30.8195,0.9572
17,17_090,0.0001,45.3119,0.9894
17,17_100,0.0015,34.0454,0.9825
18,18_010,0.0070,27.4374,0.9527
18,18_020,0.0041,29.7445,0.9630
18,18_030,0.0096,26.1369,0.9491
18,18_040,0.0015,34.3228,0.9622
18,18_050,0.0095,26.1717,0.9260
18,18_060,0.0039,30.0202,0.9434
18,18_070,0.0005,38.8029,0.9724
18,18_080,0.0052,28.7582,0.9588
18,18_090,0.0008,36.8069,0.9683
18,18_100,0.0047,29.2097,0.9547
20,20_010,0.0063,27.9545,0.9584
20,20_020,0.0027,31.6087,0.9656
20,20_030,0.0171,23.5949,0.9065
20,20_040,0.0060,28.1628,0.9094
20,20_050,0.0030,31.2059,0.9419
20,20_060,0.0005,38.5570,0.9661
20,20_070,0.0029,31.2962,0.9492
20,20_080,0.0005,38.5750,0.9699
20,20_090,0.0016,33.8342,0.9458
20,20_100,0.0007,37.5163,0.9621
21,21_010,0.0003,41.2883,0.9866
21,21_020,0.0172,23.6034,0.9186
21,21_030,0.0150,24.2026,0.8993
21,21_040,0.0070,27.4943,0.9125
21,21_050,0.0023,32.2676,0.9314
21,21_060,0.0041,29.7752,0.9279
21,21_070,0.0023,32.3654,0.9249
21,21_080,0.0061,28.1137,0.9254
21,21_090,0.0058,28.2904,0.9214
21,21_100,0.0020,32.9871,0.9372
22,22_010,0.0000,49.9679,0.9950
22,22_020,0.0075,27.1468,0.9486
22,22_030,0.0103,25.8081,0.9304
22,22_040,0.0041,29.8274,0.9594
22,22_050,0.0271,21.5803,0.8675
22,22_060,0.0091,26.3590,0.9002
22,22_070,0.0288,21.3191,0.8678
22,22_080,0.0112,25.4760,0.8961
22,22_090,0.0053,28.6572,0.9368
22,22_100,0.0122,25.0708,0.9198
23,23_010,0.0026,31.7470,0.9736
