Epoch,Batch,LossD,LossG,LossG_recon,MSE,PSNR,SSIM
1,1,1.65994,2.37114,0.11175,0.0919,16.3388,0.7873
1,2,1.89858,1.93101,0.10300,0.0827,16.7717,0.7876
1,3,1.43920,1.88741,0.10005,0.0782,17.1184,0.7937
1,4,1.47596,1.82182,0.09723,0.0737,17.3393,0.7928
1,5,1.35583,1.78619,0.09410,0.0708,17.4825,0.7891
1,6,1.38036,1.69766,0.08676,0.0615,18.1212,0.7879
1,7,1.33408,1.57880,0.07706,0.0500,19.0380,0.7964
1,8,1.31066,1.53191,0.07315,0.0468,19.5002,0.8017
1,9,1.29804,1.57097,0.07351,0.0451,19.6748,0.7927
1,10,1.30099,1.49633,0.06709,0.0401,20.2453,0.7969
1,11,1.33093,1.41581,0.06286,0.0377,21.1590,0.8100
1,12,1.27465,1.36822,0.05268,0.0252,22.1697,0.8014
1,13,1.35764,1.32490,0.05394,0.0295,21.9863,0.8066
1,14,1.37836,1.28499,0.05312,0.0305,21.9663,0.8199
1,15,1.34801,1.31497,0.05431,0.0341,21.9714,0.8195
1,16,1.38664,1.28610,0.05215,0.0353,23.0139,0.8321
1,17,1.40918,1.22293,0.04600,0.0278,23.4754,0.8384
1,18,1.35854,1.24961,0.04772,0.0294,23.4175,0.8336
1,19,1.36797,1.28899,0.05265,0.0357,21.6712,0.8330
1,20,1.34694,1.10385,0.03492,0.0150,25.3757,0.8521
1,21,1.31526,1.15271,0.03828,0.0240,24.6310,0.8570
1,22,1.33588,1.16579,0.03918,0.0223,23.6368,0.8552
1,23,1.42688,1.32849,0.05227,0.0330,21.6330,0.8486
1,24,1.42486,1.16159,0.03888,0.0228,24.2996,0.8566
1,25,1.37981,1.14050,0.04044,0.0240,24.2596,0.8525
1,26,1.40808,1.19288,0.04830,0.0321,22.8462,0.8510
1,27,1.36886,1.08026,0.03391,0.0156,24.9200,0.8736
1,28,1.41214,1.06400,0.03457,0.0197,24.9555,0.8687
1,29,1.42169,1.11379,0.03887,0.0268,24.2562,0.8680
1,30,1.40745,1.22727,0.04941,0.0373,23.1187,0.8585
1,31,1.37834,1.14493,0.04079,0.0257,24.3650,0.8661
1,32,1.37950,1.05485,0.03360,0.0191,25.5713,0.8766
1,33,1.42005,1.16329,0.04670,0.0354,23.0046,0.8687
1,34,1.40801,1.01710,0.03191,0.0203,26.2602,0.8876
1,35,1.38930,1.08952,0.03840,0.0266,23.8636,0.8756
1,36,1.38336,1.07296,0.03320,0.0160,25.0752,0.8833
1,37,1.39716,0.96825,0.02609,0.0115,26.5747,0.8881
1,38,1.37213,1.05128,0.03546,0.0236,24.9015,0.8764
1,39,1.39945,1.07275,0.03844,0.0262,24.2284,0.8783
1,40,1.38481,1.04617,0.03280,0.0164,26.1476,0.8829
1,41,1.37716,1.04271,0.03148,0.0208,26.7893,0.8938
1,42,1.37056,1.06004,0.03241,0.0214,27.3380,0.8926
1,43,1.36724,0.96910,0.02431,0.0106,27.5981,0.8885
1,44,1.38154,1.03070,0.03424,0.0214,24.7230,0.8825
1,45,1.39039,0.98884,0.02917,0.0147,27.0136,0.8946
1,46,1.38369,1.06021,0.03122,0.0161,25.5708,0.8881
1,47,1.42950,1.01947,0.03031,0.0168,26.2909,0.8898
1,48,1.39572,1.05380,0.03191,0.0180,25.9824,0.8867
1,49,1.38437,1.00243,0.02760,0.0168,26.7248,0.8965
1,50,1.38101,1.06760,0.03558,0.0235,24.6084,0.8807
1,51,1.38223,0.96685,0.02658,0.0142,26.3324,0.8870
1,52,1.37943,1.08176,0.03507,0.0213,24.2704,0.8794
1,53,1.39112,1.09465,0.03733,0.0248,24.2971,0.8775
1,54,1.41524,0.97578,0.02425,0.0108,27.4072,0.8973
1,55,1.41099,1.05413,0.03633,0.0221,24.8952,0.8733
1,56,1.39931,0.95595,0.02481,0.0135,27.2007,0.8946
1,57,1.35654,0.99715,0.02902,0.0189,27.8723,0.9018
1,58,1.36626,1.04846,0.03257,0.0223,25.6836,0.8951
1,59,1.38096,1.06142,0.03556,0.0242,24.3400,0.8852
1,60,1.36407,1.10375,0.03818,0.0247,24.2109,0.8832
1,61,1.37431,0.98503,0.02797,0.0151,26.4774,0.8931
1,62,1.36970,1.14580,0.04276,0.0275,22.5860,0.8726
1,63,1.39061,0.98953,0.02918,0.0138,25.9671,0.8839
1,64,1.36464,1.10366,0.03693,0.0234,23.9869,0.8780
1,65,1.37143,0.98973,0.02592,0.0148,25.4795,0.8989
1,66,1.38975,1.00491,0.03245,0.0214,25.6258,0.8903
1,67,1.37407,0.96819,0.02525,0.0134,27.2095,0.9003
1,68,1.38880,1.05416,0.03471,0.0207,24.3435,0.8777
1,69,1.35676,1.14937,0.04254,0.0316,22.7856,0.8774
