Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1685,13.6511,0.2725,0.81
10,0.1520,14.0985,0.2962,2.64
20,0.1436,14.3470,0.3144,4.30
30,0.1427,14.3735,0.3195,4.69
40,0.1335,14.6631,0.3346,5.92
50,0.1291,14.8100,0.3474,7.55
60,0.1288,14.8199,0.3538,8.20
70,0.1285,14.8292,0.3562,8.95
80,0.1284,14.8316,0.3562,8.95
90,0.1270,14.8809,0.3640,9.67
100,0.1261,14.9099,0.3749,10.87
110,0.1234,15.0059,0.3887,12.76
120,0.1220,15.0532,0.4016,14.36
130,0.1213,15.0783,0.4080,15.56
140,0.1214,15.0771,0.4085,15.69
150,0.1190,15.1614,0.4256,17.15
160,0.1188,15.1708,0.4258,17.22
170,0.1186,15.1771,0.4249,17.42
180,0.1192,15.1562,0.4245,17.42
190,0.1183,15.1871,0.4262,17.97
200,0.1179,15.2030,0.4284,18.07
210,0.1179,15.2030,0.4281,18.10
220,0.1175,15.2158,0.4286,18.10
230,0.1178,15.2065,0.4277,18.29
240,0.1182,15.1928,0.4279,18.29
250,0.1184,15.1859,0.4279,18.88
260,0.1179,15.2030,0.4309,19.11
270,0.1182,15.1901,0.4301,19.27
280,0.1181,15.1938,0.4312,19.27
290,0.1181,15.1943,0.4293,19.40
300,0.1178,15.2072,0.4325,19.66
310,0.1175,15.2184,0.4327,19.79
320,0.1178,15.2074,0.4325,19.79
330,0.1182,15.1908,0.4347,20.35
340,0.1172,15.2302,0.4347,20.57
350,0.1147,15.3212,0.4597,22.43
360,0.1147,15.3219,0.4628,23.67
370,0.1144,15.3336,0.4618,24.28
380,0.1142,15.3403,0.4630,24.32
390,0.1144,15.3321,0.4631,24.32
400,0.1142,15.3407,0.4628,24.32
410,0.1140,15.3489,0.4649,24.71
420,0.1137,15.3599,0.4650,24.71
430,0.1139,15.3539,0.4670,25.13
440,0.1137,15.3598,0.4689,25.36
450,0.1138,15.3577,0.4689,25.62
460,0.1131,15.3850,0.4704,25.94
470,0.1132,15.3812,0.4703,25.94
480,0.1135,15.3682,0.4703,25.94
490,0.1131,15.3837,0.4709,25.94
500,0.1136,15.3646,0.4697,25.94
510,0.1131,15.3816,0.4708,25.94
530,0.1131,15.3846,0.4707,25.94
540,0.1132,15.3781,0.4711,25.94
550,0.1131,15.3831,0.4707,25.94
560,0.1132,15.3806,0.4706,25.94
570,0.1131,15.3821,0.4703,25.94
580,0.1130,15.3859,0.4720,26.04
590,0.1126,15.4026,0.4754,26.82
600,0.1125,15.4057,0.4787,27.21
610,0.1125,15.4065,0.4802,27.64
620,0.1122,15.4191,0.4806,27.67
630,0.1121,15.4223,0.4810,27.67
640,0.1126,15.4034,0.4812,27.99
650,0.1122,15.4197,0.4830,28.06
660,0.1124,15.4087,0.4822,28.06
670,0.1123,15.4134,0.4829,28.65
680,0.1115,15.4440,0.4857,28.91
690,0.1116,15.4422,0.4869,28.91
700,0.1057,15.6787,0.5007,30.64
710,0.1057,15.6769,0.5021,31.06
720,0.1055,15.6871,0.5037,31.35
730,0.1055,15.6836,0.5035,31.35
740,0.1052,15.6986,0.5044,31.37
750,0.1054,15.6906,0.5032,31.37
760,0.1054,15.6909,0.5038,31.37
770,0.1056,15.6829,0.5043,31.37
780,0.1053,15.6921,0.5048,31.37
790,0.1057,15.6771,0.5032,31.37
800,0.1058,15.6737,0.5047,31.37
810,0.1054,15.6890,0.5035,31.37
820,0.1054,15.6895,0.5039,31.37
830,0.1055,15.6870,0.5034,31.41
840,0.1049,15.7098,0.5053,31.93
850,0.1050,15.7046,0.5053,32.21
860,0.1051,15.6999,0.5052,32.21
870,0.1051,15.7036,0.5044,32.70
880,0.1054,15.6909,0.5036,33.00
890,0.1053,15.6943,0.5040,33.22
900,0.1051,15.7026,0.5036,33.22
910,0.1050,15.7056,0.5024,33.22
920,0.1053,15.6927,0.5003,34.38
930,0.1054,15.6902,0.4979,35.23
940,0.1055,15.6833,0.4951,36.11
950,0.1050,15.7072,0.4955,36.28
960,0.1052,15.6967,0.4958,36.28
970,0.1052,15.6963,0.4952,36.28
980,0.1054,15.6880,0.4961,36.28
990,0.1053,15.6952,0.4954,36.28
