Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1524,14.1216,0.3435,0.81
10,0.1500,14.1899,0.3538,1.73
20,0.1483,14.2400,0.3621,2.93
30,0.1484,14.2372,0.3640,3.12
40,0.1480,14.2496,0.3731,4.62
50,0.1471,14.2775,0.3895,6.51
60,0.1463,14.2996,0.3951,7.32
70,0.1479,14.2524,0.3910,7.88
80,0.1479,14.2535,0.3911,7.91
90,0.1477,14.2583,0.3920,8.01
100,0.1469,14.2809,0.3956,8.17
110,0.1469,14.2809,0.3956,8.17
120,0.1471,14.2747,0.4015,9.15
130,0.1468,14.2843,0.4044,9.57
140,0.1468,14.2843,0.4044,9.57
150,0.1467,14.2888,0.4069,9.67
160,0.1458,14.3133,0.4216,11.04
170,0.1456,14.3214,0.4253,11.85
180,0.1453,14.3305,0.4280,12.08
190,0.1452,14.3338,0.4303,12.40
200,0.1447,14.3469,0.4355,13.22
210,0.1445,14.3545,0.4365,13.41
220,0.1441,14.3642,0.4395,13.87
230,0.1430,14.3987,0.4503,14.39
240,0.1427,14.4090,0.4572,14.81
250,0.1425,14.4141,0.4611,15.69
260,0.1421,14.4278,0.4654,16.34
270,0.1421,14.4274,0.4652,16.63
280,0.1419,14.4317,0.4671,17.29
290,0.1420,14.4286,0.4667,18.33
300,0.1420,14.4291,0.4669,18.39
310,0.1420,14.4291,0.4669,18.39
320,0.1419,14.4316,0.4679,18.65
330,0.1419,14.4315,0.4680,18.69
340,0.1419,14.4315,0.4680,18.69
350,0.1419,14.4315,0.4680,18.69
360,0.1419,14.4315,0.4679,18.82
370,0.1419,14.4315,0.4679,18.82
380,0.1419,14.4315,0.4679,18.82
390,0.1419,14.4330,0.4690,19.10
400,0.1419,14.4337,0.4697,19.16
410,0.1417,14.4382,0.4706,19.32
420,0.1416,14.4416,0.4738,19.70
430,0.1407,14.4681,0.4757,19.95
440,0.1407,14.4681,0.4757,19.95
450,0.1406,14.4733,0.4766,20.21
460,0.1400,14.4912,0.4804,20.86
470,0.1401,14.4875,0.4806,21.62
480,0.1401,14.4874,0.4809,21.65
490,0.1401,14.4874,0.4809,21.65
500,0.1401,14.4874,0.4809,21.65
510,0.1401,14.4874,0.4809,21.65
520,0.1403,14.4822,0.4793,21.83
530,0.1402,14.4859,0.4803,21.93
540,0.1401,14.4877,0.4813,22.16
550,0.1401,14.4879,0.4816,22.22
560,0.1401,14.4879,0.4816,22.22
570,0.1401,14.4882,0.4814,22.32
580,0.1395,14.5067,0.4878,23.15
590,0.1400,14.4922,0.4894,23.85
600,0.1397,14.5009,0.4964,25.04
610,0.1394,14.5097,0.4997,25.45
620,0.1383,14.5444,0.5062,25.97
630,0.1383,14.5443,0.5062,25.98
640,0.1373,14.5761,0.5150,27.38
650,0.1365,14.6018,0.5234,28.06
660,0.1365,14.6018,0.5234,28.06
670,0.1364,14.6030,0.5246,28.19
680,0.1364,14.6030,0.5246,28.19
690,0.1364,14.6030,0.5246,28.19
700,0.1364,14.6030,0.5246,28.19
710,0.1364,14.6030,0.5246,28.19
720,0.1364,14.6030,0.5246,28.19
730,0.1364,14.6030,0.5246,28.19
740,0.1364,14.6030,0.5246,28.19
750,0.1364,14.6030,0.5246,28.19
760,0.1364,14.6030,0.5246,28.19
770,0.1364,14.6030,0.5246,28.19
780,0.1364,14.6030,0.5246,28.19
790,0.1364,14.6030,0.5246,28.19
800,0.1364,14.6030,0.5246,28.19
810,0.1364,14.6030,0.5246,28.19
820,0.1364,14.6030,0.5246,28.19
830,0.1364,14.6045,0.5264,28.36
840,0.1364,14.6052,0.5267,28.41
850,0.1364,14.6052,0.5267,28.41
860,0.1364,14.6052,0.5267,28.41
870,0.1364,14.6052,0.5267,28.41
880,0.1364,14.6052,0.5267,28.41
890,0.1364,14.6052,0.5267,28.41
900,0.1364,14.6052,0.5267,28.41
910,0.1364,14.6052,0.5267,28.41
920,0.1364,14.6052,0.5267,28.41
930,0.1364,14.6052,0.5267,28.41
940,0.1358,14.6223,0.5278,28.65
950,0.1359,14.6202,0.5271,28.78
960,0.1349,14.6518,0.5305,28.94
970,0.1262,14.9400,0.5424,29.82
980,0.1205,15.1435,0.5587,30.71
990,0.1194,15.1821,0.5706,32.08
