Step,MSE,PSNR,SSIM,Percentage Explored
0,0.3634,10.3479,0.2632,0.78
10,0.3631,10.3521,0.2601,2.31
20,0.3616,10.3704,0.2617,3.12
30,0.3611,10.3762,0.2599,3.97
40,0.3587,10.4046,0.2558,5.53
50,0.2916,11.3040,0.2651,7.91
60,0.2881,11.3564,0.2743,8.98
70,0.2889,11.3451,0.2635,9.64
80,0.2887,11.3475,0.2702,10.16
90,0.2908,11.3162,0.2621,10.71
100,0.2880,11.3587,0.2685,10.94
110,0.2916,11.3047,0.2635,10.94
120,0.2912,11.3107,0.2617,11.59
130,0.2913,11.3094,0.2621,11.72
140,0.2893,11.3384,0.2639,11.88
150,0.2883,11.3544,0.2657,11.88
160,0.2897,11.3334,0.2629,11.91
170,0.2902,11.3258,0.2673,11.91
180,0.2880,11.3586,0.2613,11.91
190,0.2901,11.3272,0.2617,12.24
200,0.2881,11.3572,0.2687,12.83
210,0.2872,11.3697,0.2660,13.12
220,0.2849,11.4046,0.2684,13.28
230,0.2880,11.3589,0.2601,14.32
240,0.2893,11.3388,0.2558,14.64
250,0.2851,11.4026,0.2542,14.64
260,0.2859,11.3899,0.2592,14.64
270,0.2895,11.3353,0.2518,14.71
280,0.2902,11.3249,0.2598,14.71
290,0.2858,11.3923,0.2598,14.71
300,0.2860,11.3880,0.2609,14.93
310,0.2873,11.3681,0.2577,15.26
320,0.2892,11.3399,0.2531,15.26
330,0.2876,11.3638,0.2518,15.26
340,0.2868,11.3764,0.2579,15.26
350,0.2846,11.4097,0.2536,15.59
360,0.2866,11.3794,0.2549,16.56
370,0.2834,11.4287,0.2538,17.25
380,0.2870,11.3729,0.2558,17.36
390,0.2866,11.3793,0.2536,17.36
400,0.2858,11.3913,0.2567,17.39
410,0.2867,11.3777,0.2548,17.39
420,0.2884,11.3521,0.2534,17.47
430,0.2881,11.3571,0.2521,17.47
440,0.2899,11.3293,0.2527,17.47
450,0.2854,11.3984,0.2522,17.66
460,0.2860,11.3883,0.2522,17.88
470,0.2859,11.3902,0.2477,18.62
480,0.2842,11.4167,0.2589,19.01
490,0.2824,11.4442,0.2557,19.02
500,0.2839,11.4205,0.2549,19.06
510,0.2838,11.4228,0.2575,19.06
520,0.2877,11.3630,0.2519,19.06
530,0.2661,11.7011,0.2557,20.10
540,0.2682,11.6677,0.2620,21.01
550,0.2665,11.6946,0.2581,22.21
560,0.2671,11.6861,0.2596,22.96
570,0.2651,11.7176,0.2632,23.06
580,0.2671,11.6855,0.2592,23.67
590,0.2644,11.7289,0.2670,23.67
600,0.2689,11.6570,0.2586,23.74
610,0.2671,11.6850,0.2585,23.85
620,0.2663,11.6980,0.2577,23.89
630,0.2654,11.7134,0.2610,23.95
640,0.2703,11.6342,0.2606,23.95
650,0.2685,11.6621,0.2525,23.95
660,0.2681,11.6689,0.2602,24.41
670,0.2635,11.7448,0.2628,25.03
680,0.2649,11.7220,0.2635,25.03
690,0.2648,11.7237,0.2631,25.46
700,0.2658,11.7065,0.2648,25.91
710,0.2667,11.6919,0.2597,26.17
720,0.2634,11.7464,0.2577,27.40
730,0.2662,11.6994,0.2576,27.57
740,0.2633,11.7472,0.2623,27.57
750,0.2666,11.6931,0.2565,28.22
760,0.2608,11.7886,0.2572,29.65
770,0.2613,11.7803,0.2563,30.98
780,0.2607,11.7909,0.2522,32.64
790,0.2609,11.7878,0.2548,34.04
800,0.2609,11.7871,0.2479,34.21
810,0.2569,11.8541,0.2558,34.30
820,0.2567,11.8581,0.2501,35.40
830,0.2563,11.8644,0.2512,35.96
840,0.2569,11.8540,0.2457,36.45
850,0.2575,11.8440,0.2454,36.88
860,0.2556,11.8767,0.2415,38.22
870,0.2638,11.7397,0.2372,38.40
880,0.2576,11.8433,0.2445,38.40
890,0.2605,11.7934,0.2344,38.96
900,0.2589,11.8216,0.2348,39.20
910,0.2589,11.8214,0.2381,39.20
920,0.2566,11.8588,0.2294,39.20
930,0.2614,11.7786,0.2375,39.24
940,0.2591,11.8179,0.2414,39.24
950,0.2581,11.8344,0.2313,39.80
960,0.2611,11.7844,0.2327,40.36
970,0.2622,11.7666,0.2319,40.41
980,0.2588,11.8234,0.2341,40.41
990,0.2602,11.7990,0.2347,40.42
