Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1843,13.2968,0.2781,0.81
10,0.1772,13.4673,0.3106,2.85
20,0.1773,13.4656,0.3093,3.01
30,0.1806,13.3839,0.3081,3.59
40,0.1696,13.6577,0.3331,6.42
50,0.1676,13.7098,0.3538,8.05
60,0.1622,13.8530,0.3706,9.61
70,0.1598,13.9162,0.3771,10.64
80,0.1402,14.4855,0.4119,12.47
90,0.1392,14.5162,0.4194,13.30
100,0.1385,14.5373,0.4222,13.43
110,0.1357,14.6248,0.4270,13.74
120,0.1321,14.7429,0.4358,14.87
130,0.1237,15.0300,0.4517,16.20
140,0.1234,15.0382,0.4548,16.56
150,0.1208,15.1320,0.4616,16.97
160,0.1197,15.1704,0.4643,17.39
170,0.1153,15.3349,0.4766,18.53
180,0.1150,15.3437,0.4766,18.60
190,0.1117,15.4735,0.4898,19.55
200,0.1108,15.5086,0.4913,19.76
210,0.1108,15.5086,0.4913,19.76
220,0.1108,15.5086,0.4913,19.76
230,0.1108,15.5086,0.4913,19.76
240,0.1137,15.3960,0.4925,20.06
250,0.1009,15.9125,0.4986,20.44
260,0.1010,15.9088,0.4988,20.52
270,0.0997,15.9661,0.5082,21.44
280,0.0968,16.0928,0.5171,22.28
290,0.0981,16.0373,0.5286,24.13
300,0.0923,16.2986,0.5763,26.25
310,0.0922,16.3042,0.5810,26.72
320,0.0919,16.3210,0.5840,26.98
330,0.0917,16.3297,0.5864,27.39
340,0.0917,16.3297,0.5866,28.01
350,0.0922,16.3042,0.5847,28.93
360,0.0915,16.3378,0.5897,29.04
370,0.0911,16.3556,0.5960,29.31
380,0.0916,16.3347,0.5901,29.67
390,0.0914,16.3449,0.5951,30.15
400,0.0927,16.2834,0.5987,30.95
410,0.0909,16.3649,0.6050,31.23
420,0.0909,16.3648,0.6053,31.35
430,0.0910,16.3600,0.6044,32.00
440,0.0908,16.3692,0.6074,32.08
450,0.0908,16.3730,0.6091,32.39
460,0.0906,16.3796,0.6124,33.27
470,0.0907,16.3752,0.6100,33.27
480,0.0906,16.3810,0.6128,33.30
490,0.0905,16.3868,0.6141,33.64
500,0.0905,16.3873,0.6143,33.94
510,0.0905,16.3873,0.6143,33.94
520,0.0904,16.3912,0.6160,34.27
530,0.0904,16.3910,0.6166,34.42
540,0.0904,16.3929,0.6169,34.42
550,0.0904,16.3899,0.6175,35.00
560,0.0904,16.3898,0.6176,35.03
570,0.0904,16.3898,0.6176,35.03
580,0.0905,16.3848,0.6180,36.07
590,0.0899,16.4124,0.6269,37.30
600,0.0900,16.4089,0.6247,37.43
610,0.0892,16.4473,0.6300,37.98
620,0.0894,16.4407,0.6278,38.26
630,0.0892,16.4493,0.6308,38.53
640,0.0893,16.4414,0.6292,38.60
650,0.0893,16.4450,0.6336,38.93
660,0.0890,16.4593,0.6361,39.39
670,0.0671,17.6868,0.6424,39.52
680,0.0670,17.6943,0.6477,39.79
690,0.0658,17.7683,0.6469,40.00
700,0.0658,17.7724,0.6480,40.04
710,0.0658,17.7724,0.6480,40.05
720,0.0702,17.4891,0.6415,40.05
730,0.0633,17.9372,0.6523,40.19
740,0.0607,18.1176,0.6558,40.29
750,0.0606,18.1252,0.6572,40.35
760,0.0606,18.1252,0.6568,40.36
770,0.0606,18.1267,0.6570,40.38
780,0.0606,18.1257,0.6566,40.38
790,0.0603,18.1517,0.6566,40.54
800,0.0600,18.1693,0.6612,40.80
810,0.0594,18.2157,0.6642,41.27
820,0.0594,18.2151,0.6642,41.31
830,0.0583,18.2923,0.6658,41.50
840,0.0583,18.2934,0.6657,41.87
850,0.0580,18.3142,0.6684,42.30
860,0.0584,18.2882,0.6663,43.68
870,0.0583,18.2954,0.6698,44.29
880,0.0571,18.3855,0.6697,44.61
890,0.0570,18.3899,0.6710,44.62
900,0.0567,18.4131,0.6718,44.96
910,0.0568,18.4087,0.6710,45.60
920,0.0575,18.3545,0.6713,46.18
930,0.0550,18.5517,0.6765,46.34
940,0.0550,18.5514,0.6771,46.45
950,0.0549,18.5531,0.6777,46.48
960,0.0549,18.5527,0.6781,46.63
970,0.0549,18.5527,0.6781,46.63
980,0.0549,18.5527,0.6781,46.63
990,0.0561,18.4589,0.6706,46.82
