Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1138,15.3576,0.4677,0.81
10,0.1125,15.4053,0.4822,2.31
20,0.1123,15.4133,0.4854,3.22
30,0.1120,15.4254,0.4837,4.19
40,0.1112,15.4570,0.4939,5.20
50,0.1110,15.4645,0.4969,6.05
60,0.1112,15.4569,0.4953,7.17
70,0.1110,15.4636,0.4968,7.36
80,0.1110,15.4650,0.4975,7.80
90,0.1110,15.4652,0.4982,8.08
100,0.1110,15.4656,0.4986,8.32
110,0.1110,15.4656,0.4986,8.32
120,0.1110,15.4656,0.4986,8.32
130,0.1110,15.4656,0.4986,8.32
140,0.1110,15.4655,0.4985,8.31
150,0.1111,15.4606,0.4966,7.85
160,0.1111,15.4606,0.4966,7.85
170,0.1111,15.4605,0.4962,8.13
180,0.1111,15.4617,0.4978,8.39
190,0.1111,15.4610,0.4978,8.46
200,0.1111,15.4610,0.4978,8.46
210,0.1108,15.4712,0.4975,8.46
220,0.1114,15.4495,0.4942,8.80
230,0.1114,15.4494,0.4941,8.75
240,0.1114,15.4494,0.4941,8.75
250,0.1117,15.4388,0.4922,8.29
260,0.1116,15.4400,0.4923,8.27
270,0.1136,15.3623,0.4785,8.28
280,0.1109,15.4685,0.4984,8.69
290,0.1109,15.4685,0.4984,8.71
300,0.1109,15.4685,0.4984,8.71
310,0.1109,15.4691,0.4988,8.79
320,0.1109,15.4697,0.4992,8.84
330,0.1109,15.4697,0.4992,8.84
340,0.1109,15.4698,0.4993,8.82
350,0.1109,15.4702,0.4992,8.94
360,0.1105,15.4825,0.5024,9.78
370,0.1106,15.4818,0.5026,10.15
380,0.1104,15.4867,0.5042,10.55
390,0.1089,15.5485,0.5207,12.17
400,0.1041,15.7431,0.5143,13.24
410,0.1042,15.7384,0.5159,13.01
420,0.1045,15.7279,0.5153,12.32
430,0.1045,15.7279,0.5153,12.32
440,0.1042,15.7376,0.5162,12.59
450,0.1042,15.7376,0.5162,12.59
460,0.1042,15.7371,0.5155,12.52
470,0.1042,15.7371,0.5155,12.52
480,0.1043,15.7368,0.5151,11.46
490,0.1060,15.6666,0.5107,10.79
500,0.3502,10.5093,0.2338,9.60
510,0.2959,11.2413,0.2558,9.62
520,0.2503,11.9683,0.2746,10.12
530,0.2472,12.0211,0.2780,10.21
540,0.2472,12.0222,0.2785,9.84
550,0.2471,12.0231,0.2804,10.06
560,0.2455,12.0512,0.2880,10.48
570,0.2454,12.0536,0.2904,10.61
580,0.2452,12.0565,0.2926,10.82
590,0.2391,12.1672,0.2862,9.62
600,0.2380,12.1857,0.2962,10.73
610,0.2367,12.2098,0.3114,12.64
620,0.2395,12.1593,0.3199,14.36
630,0.2293,12.3489,0.3342,15.94
640,0.2266,12.3993,0.3364,15.99
650,0.2292,12.3508,0.3339,15.92
660,0.2208,12.5117,0.3543,17.19
670,0.2197,12.5347,0.3617,17.91
680,0.2196,12.5363,0.3605,17.57
690,0.2198,12.5323,0.3589,17.28
700,0.2194,12.5408,0.3596,17.31
710,0.2226,12.4773,0.3521,16.85
720,0.2284,12.3651,0.3437,16.22
730,0.2312,12.3124,0.3372,15.91
740,0.2309,12.3189,0.3363,15.69
750,0.2374,12.1978,0.3195,14.42
760,0.2375,12.1951,0.3198,14.38
770,0.2376,12.1940,0.3190,13.94
780,0.2396,12.1574,0.3158,12.87
790,0.2389,12.1703,0.3165,12.45
800,0.2411,12.1305,0.3131,11.91
810,0.2431,12.0952,0.3098,11.47
820,0.2421,12.1124,0.3060,11.12
830,0.2399,12.1510,0.3097,11.10
840,0.2427,12.1009,0.3079,11.27
850,0.2374,12.1969,0.3136,11.81
860,0.2396,12.1580,0.3122,12.81
870,0.2342,12.2573,0.3266,13.92
880,0.2332,12.2752,0.3238,13.71
890,0.2341,12.2586,0.3211,13.44
900,0.2345,12.2512,0.3135,12.63
910,0.2354,12.2335,0.3102,12.23
920,0.2345,12.2508,0.3136,12.60
930,0.2393,12.1625,0.3082,12.54
940,0.2401,12.1478,0.3080,12.60
950,0.2401,12.1485,0.3060,12.19
960,0.2400,12.1497,0.3071,12.11
970,0.2400,12.1500,0.3073,12.24
980,0.2401,12.1487,0.3052,12.19
990,0.2400,12.1505,0.3064,12.62
