Step,MSE,PSNR,SSIM,Percentage Explored
0,0.0691,17.5203,0.5153,0.81
10,0.0609,18.0740,0.5841,4.79
20,0.0651,17.7821,0.5661,5.41
30,0.0607,18.0836,0.5924,6.16
40,0.0607,18.0836,0.5924,6.16
50,0.0615,18.0314,0.5807,6.16
60,0.0607,18.0834,0.5927,6.31
70,0.0610,18.0677,0.5862,6.02
80,0.0617,18.0147,0.5789,5.51
90,0.0627,17.9472,0.5746,4.50
100,0.0626,17.9501,0.5766,4.81
110,0.0626,17.9505,0.5763,4.61
120,0.0624,17.9625,0.5746,5.27
130,0.0633,17.9004,0.5848,6.59
140,0.0638,17.8725,0.5873,6.88
150,0.0637,17.8777,0.5799,6.65
160,0.0652,17.7761,0.5814,6.52
170,0.0654,17.7636,0.5812,6.78
180,0.0654,17.7624,0.5810,6.88
190,0.0686,17.5520,0.5476,4.80
200,0.0709,17.4083,0.5445,4.47
210,0.0709,17.4084,0.5441,4.46
220,0.0704,17.4390,0.5441,4.43
230,0.0703,17.4475,0.5514,5.25
240,0.0701,17.4622,0.5527,5.57
250,0.0707,17.4237,0.5518,5.59
260,0.0707,17.4226,0.5519,5.45
270,0.0707,17.4258,0.5528,5.92
280,0.0688,17.5397,0.5574,5.98
290,0.0662,17.7076,0.5765,7.31
300,0.0662,17.7078,0.5755,7.34
310,0.0647,17.8105,0.5743,7.08
320,0.0645,17.8217,0.5730,7.32
330,0.0658,17.7347,0.5596,7.32
340,0.0635,17.8910,0.5755,6.81
350,0.0632,17.9125,0.5780,7.31
360,0.0631,17.9148,0.5788,7.43
370,0.0637,17.8778,0.5768,7.10
380,0.0642,17.8427,0.5728,6.91
390,0.0647,17.8114,0.5705,5.68
400,0.0717,17.3601,0.5496,5.75
410,0.0691,17.5239,0.5618,6.66
420,0.0733,17.2641,0.5540,7.08
430,0.0721,17.3360,0.5838,9.53
440,0.0736,17.2476,0.5807,10.08
450,0.0700,17.4643,0.6062,11.58
460,0.0697,17.4836,0.6055,11.49
470,0.0700,17.4671,0.6158,11.00
480,0.0727,17.3053,0.6103,11.38
490,0.0697,17.4832,0.6164,12.45
500,0.1783,13.4065,0.3040,13.21
510,0.1732,13.5323,0.3159,11.24
520,0.1754,13.4779,0.3128,10.78
530,0.1746,13.4976,0.3227,9.29
540,0.1680,13.6649,0.3400,9.71
550,0.1668,13.6966,0.3421,9.03
560,0.1606,13.8604,0.3572,8.44
570,0.1556,13.9984,0.3627,9.23
580,0.1559,13.9894,0.3630,9.30
590,0.1558,13.9927,0.3629,9.25
600,0.1558,13.9919,0.3590,9.16
610,0.1597,13.8848,0.3443,8.09
620,0.1579,13.9348,0.3510,7.45
630,0.1632,13.7905,0.3378,6.21
640,0.1614,13.8385,0.3403,7.07
650,0.1580,13.9311,0.3437,6.89
660,0.1581,13.9284,0.3458,7.68
670,0.1607,13.8587,0.3466,7.51
680,0.1708,13.5919,0.3357,7.39
690,0.1704,13.6020,0.3331,7.24
700,0.1749,13.4898,0.3332,6.62
710,0.1736,13.5213,0.3338,6.34
720,0.1716,13.5719,0.3335,6.22
730,0.1714,13.5772,0.3450,7.60
740,0.1710,13.5870,0.3529,8.60
750,0.1684,13.6543,0.3634,8.79
760,0.1666,13.7000,0.3741,9.76
770,0.1657,13.7239,0.3701,8.98
780,0.1729,13.5403,0.3579,8.26
790,0.1620,13.8240,0.3759,9.94
800,0.1617,13.8301,0.3852,10.29
810,0.1613,13.8426,0.3758,10.15
820,0.1521,14.0965,0.3755,10.18
830,0.1549,14.0169,0.3770,10.58
840,0.1529,14.0748,0.3789,10.02
850,0.1536,14.0540,0.3743,9.54
860,0.1546,14.0250,0.3688,7.77
870,0.1553,14.0060,0.3618,7.22
880,0.1598,13.8807,0.3583,7.69
890,0.1605,13.8643,0.3606,7.76
900,0.1575,13.9438,0.3692,8.35
910,0.1568,13.9631,0.3638,8.01
920,0.1610,13.8495,0.3556,7.39
930,0.1655,13.7297,0.3525,7.27
940,0.1674,13.6807,0.3475,6.71
950,0.1700,13.6143,0.3413,6.26
960,0.1720,13.5630,0.3377,7.96
970,0.1742,13.5062,0.3427,8.87
980,0.1749,13.4894,0.3424,8.98
990,0.1777,13.4218,0.3494,9.04
