Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1254,14.9348,0.4432,0.81
10,0.1241,14.9810,0.4659,2.80
20,0.1239,14.9862,0.4698,3.48
30,0.1234,15.0062,0.4798,5.05
40,0.1236,14.9993,0.4814,5.99
50,0.1236,14.9985,0.4822,6.16
60,0.1243,14.9720,0.4857,7.24
70,0.1205,15.1090,0.4833,8.47
80,0.1009,15.8797,0.5025,8.93
90,0.0980,16.0051,0.5052,9.77
100,0.0953,16.1255,0.5096,9.87
110,0.0932,16.2258,0.5137,10.63
120,0.0919,16.2855,0.5144,10.74
130,0.0890,16.4263,0.5012,9.94
140,0.0866,16.5433,0.4689,7.71
150,0.1080,15.5823,0.4146,6.39
160,0.1061,15.6613,0.4302,5.19
170,0.1082,15.5747,0.4261,4.72
180,0.1076,15.5987,0.4321,5.19
190,0.1057,15.6756,0.4363,5.84
200,0.1048,15.7137,0.4419,6.15
210,0.1022,15.8250,0.4436,7.18
220,0.1090,15.5427,0.4429,6.23
230,0.1138,15.3582,0.4391,7.18
240,0.1301,14.7741,0.4208,7.87
250,0.1284,14.8309,0.4191,7.93
260,0.1300,14.7780,0.4100,7.37
270,0.1310,14.7441,0.4089,7.27
280,0.1304,14.7637,0.4115,7.36
290,0.1305,14.7614,0.4105,7.29
300,0.1314,14.7307,0.4103,7.09
310,0.1253,14.9379,0.4159,6.42
320,0.1324,14.6988,0.4152,7.14
330,0.1336,14.6607,0.4000,7.42
340,0.1171,15.2318,0.4173,8.00
350,0.1181,15.1969,0.4130,7.65
360,0.1171,15.2306,0.4134,7.46
370,0.1309,14.7483,0.4002,7.76
380,0.1263,14.9044,0.4126,7.63
390,0.1268,14.8865,0.4135,7.35
400,0.1156,15.2891,0.4282,7.08
410,0.0830,16.7253,0.4680,7.23
420,0.0844,16.6568,0.4635,6.49
430,0.0863,16.5581,0.4677,6.27
440,0.0847,16.6396,0.4882,7.65
450,0.0904,16.3544,0.4675,7.82
460,0.0960,16.0973,0.4735,8.02
470,0.0964,16.0766,0.4747,7.23
480,0.0971,16.0470,0.4813,7.16
490,0.1003,15.9063,0.4731,7.06
500,0.2263,12.4061,0.4045,6.86
510,0.2105,12.7193,0.4385,6.14
520,0.2028,12.8806,0.4656,6.12
530,0.2010,12.9212,0.4648,6.23
540,0.1878,13.2144,0.4988,7.64
550,0.1884,13.2023,0.5034,7.88
560,0.1732,13.5674,0.5139,8.14
570,0.1684,13.6901,0.5072,7.03
580,0.1593,13.9308,0.5001,7.40
590,0.1568,13.9984,0.5043,7.43
600,0.1534,14.0938,0.4914,6.87
610,0.1574,13.9834,0.4751,6.21
620,0.1546,14.0589,0.4669,6.50
630,0.1360,14.6182,0.4911,6.85
640,0.1358,14.6220,0.4822,6.75
650,0.1264,14.9334,0.4942,6.19
660,0.1227,15.0623,0.4955,6.47
670,0.1338,14.6891,0.4637,6.28
680,0.1285,14.8646,0.4765,6.99
690,0.1337,14.6894,0.4929,7.61
700,0.1299,14.8146,0.5184,8.89
710,0.1293,14.8369,0.5325,9.66
720,0.1271,14.9105,0.5493,10.32
730,0.1383,14.5442,0.5237,8.31
740,0.1543,14.0688,0.4933,7.30
750,0.1634,13.8191,0.4967,8.46
760,0.1472,14.2718,0.5062,9.58
770,0.1597,13.9197,0.4943,9.65
780,0.1572,13.9874,0.4954,8.42
790,0.1598,13.9172,0.4897,8.24
800,0.1578,13.9698,0.4775,7.14
810,0.1579,13.9676,0.4752,7.59
820,0.1577,13.9734,0.4772,7.61
830,0.1581,13.9617,0.4760,7.07
840,0.1500,14.1899,0.4877,6.96
850,0.1762,13.4916,0.4743,5.83
860,0.1929,13.0980,0.4671,5.44
870,0.1752,13.5165,0.4741,5.90
880,0.1724,13.5858,0.4755,5.79
890,0.1725,13.5837,0.4758,5.86
900,0.1802,13.3944,0.4738,5.76
910,0.1916,13.1279,0.4680,5.16
920,0.1919,13.1222,0.4657,4.57
930,0.1922,13.1144,0.4680,4.67
940,0.1914,13.1323,0.4787,5.23
950,0.1918,13.1232,0.4870,6.86
960,0.1930,13.0977,0.4892,6.93
970,0.1928,13.1004,0.4893,6.81
980,0.1937,13.0810,0.4965,6.93
990,0.1943,13.0669,0.4944,7.62
