Step,MSE,PSNR,SSIM,Percentage Explored
0,0.0575,18.2833,0.4650,0.81
10,0.0534,18.6085,0.5025,2.02
20,0.0496,18.9270,0.5305,3.84
30,0.0427,19.5750,0.5633,5.57
40,0.0417,19.6774,0.5696,6.67
50,0.0413,19.7240,0.5691,6.83
60,0.0409,19.7671,0.5715,7.11
70,0.0417,19.6852,0.5748,8.22
80,0.0420,19.6469,0.5774,8.53
90,0.0417,19.6851,0.5799,8.76
100,0.0408,19.7738,0.5851,9.56
110,0.0403,19.8323,0.5870,9.69
120,0.0387,20.0046,0.5926,12.16
130,0.0370,20.1959,0.6193,13.20
140,0.0361,20.3038,0.6227,14.22
150,0.0333,20.6555,0.6336,15.98
160,0.0330,20.7033,0.6333,16.27
170,0.0343,20.5332,0.6177,16.57
180,0.0322,20.7981,0.6365,16.79
190,0.0311,20.9527,0.6396,17.35
200,0.0307,21.0057,0.6355,17.75
210,0.0301,21.0906,0.6408,18.10
220,0.0297,21.1577,0.6399,18.37
230,0.0300,21.1071,0.6360,18.51
240,0.0297,21.1613,0.6409,18.80
250,0.0295,21.1780,0.6423,19.54
260,0.0280,21.4105,0.6482,19.77
270,0.0291,21.2429,0.6354,19.90
280,0.0277,21.4587,0.6490,20.17
290,0.0276,21.4719,0.6480,20.35
300,0.0276,21.4733,0.6481,20.54
310,0.0276,21.4790,0.6487,20.79
320,0.0258,21.7712,0.6542,21.55
330,0.0253,21.8500,0.6558,21.60
340,0.0255,21.8224,0.6551,21.63
350,0.0253,21.8552,0.6545,21.77
360,0.0254,21.8372,0.6559,21.53
370,0.0255,21.8230,0.6551,21.53
380,0.0260,21.7398,0.6536,21.43
390,0.0261,21.7094,0.6535,21.43
400,0.0262,21.7052,0.6524,21.43
410,0.0262,21.7020,0.6525,21.45
420,0.0252,21.8729,0.6548,21.11
430,0.0258,21.7731,0.6435,20.49
440,0.0258,21.7595,0.6437,20.43
450,0.0258,21.7748,0.6437,20.08
460,0.0277,21.4566,0.6359,20.00
470,0.0278,21.4481,0.6359,20.07
480,0.0275,21.4845,0.6385,20.61
490,0.0301,21.0938,0.6341,19.74
500,0.1201,15.1234,0.4768,20.84
510,0.1201,15.1240,0.4774,21.04
520,0.1195,15.1441,0.4790,20.98
530,0.1202,15.1189,0.4762,20.48
540,0.1211,15.0865,0.4736,20.32
550,0.1216,15.0673,0.4757,20.41
560,0.1214,15.0743,0.4753,20.38
570,0.1216,15.0700,0.4753,20.24
580,0.1219,15.0587,0.4751,19.72
590,0.1218,15.0631,0.4740,20.07
600,0.1207,15.0995,0.4742,20.30
610,0.1200,15.1244,0.4773,21.12
620,0.1162,15.2672,0.4928,22.64
630,0.1165,15.2535,0.4912,22.43
640,0.1168,15.2436,0.4918,22.02
650,0.1169,15.2395,0.4920,22.15
660,0.1118,15.4350,0.4919,22.39
670,0.1082,15.5760,0.4902,22.88
680,0.1078,15.5930,0.4921,22.99
690,0.0982,15.9969,0.4974,23.45
700,0.0983,15.9943,0.4965,23.19
710,0.0981,16.0030,0.4953,23.34
720,0.0913,16.3142,0.5063,24.35
730,0.0899,16.3822,0.5016,24.28
740,0.0887,16.4399,0.5037,24.75
750,0.0822,16.7709,0.5235,26.23
760,0.0803,16.8688,0.5211,26.77
770,0.0799,16.8909,0.5197,27.17
780,0.0793,16.9243,0.5254,27.49
790,0.0793,16.9240,0.5242,27.49
800,0.0798,16.8998,0.5236,27.49
810,0.0797,16.9032,0.5252,27.46
820,0.0803,16.8706,0.5204,27.01
830,0.0782,16.9851,0.5269,26.33
840,0.0833,16.7133,0.5248,25.29
850,0.0831,16.7207,0.5200,24.80
860,0.0830,16.7279,0.5287,24.87
870,0.0812,16.8241,0.5363,26.39
880,0.0808,16.8436,0.5386,26.17
890,0.0779,16.9997,0.5527,26.23
900,0.0760,17.1086,0.5679,26.45
910,0.0759,17.1137,0.5684,26.45
920,0.0759,17.1150,0.5687,26.51
930,0.0757,17.1273,0.5693,26.51
940,0.0755,17.1362,0.5691,27.08
950,0.0753,17.1490,0.5715,27.13
960,0.0754,17.1457,0.5697,27.10
970,0.0754,17.1440,0.5700,26.97
980,0.0755,17.1381,0.5722,26.73
990,0.0753,17.1478,0.5726,26.64
