Step,MSE,PSNR,SSIM,Percentage Explored
0,0.3617,10.3690,0.1981,0.81
10,0.3550,10.4496,0.2048,2.86
20,0.3546,10.4552,0.2054,2.96
30,0.3368,10.6785,0.2130,4.05
40,0.3376,10.6688,0.2116,4.47
50,0.3316,10.7462,0.2180,5.35
60,0.3096,11.0438,0.2247,6.45
70,0.2929,11.2856,0.2314,7.17
80,0.2930,11.2841,0.2282,7.17
90,0.2913,11.3092,0.2324,7.38
100,0.2909,11.3153,0.2367,8.00
110,0.2875,11.3664,0.2396,9.63
120,0.2815,11.4575,0.2491,10.87
130,0.2823,11.4456,0.2473,11.32
140,0.2784,11.5058,0.2486,11.48
150,0.2768,11.5302,0.2452,11.48
160,0.2734,11.5848,0.2540,12.17
170,0.2724,11.5999,0.2532,12.59
180,0.2707,11.6280,0.2589,12.59
190,0.2715,11.6146,0.2609,12.59
200,0.2723,11.6016,0.2550,12.59
210,0.2735,11.5830,0.2532,12.79
220,0.2709,11.6244,0.2602,12.79
230,0.2722,11.6038,0.2569,12.85
240,0.2713,11.6174,0.2649,14.19
250,0.2716,11.6124,0.2622,14.64
260,0.2721,11.6057,0.2633,14.64
270,0.2616,11.7754,0.2703,15.13
280,0.2610,11.7861,0.2710,15.75
290,0.2596,11.8090,0.2795,16.76
300,0.2386,12.1759,0.2873,17.21
310,0.2376,12.1943,0.2891,17.21
320,0.2358,12.2264,0.2895,17.21
330,0.2382,12.1833,0.2888,17.21
340,0.2404,12.1423,0.2848,17.38
350,0.2346,12.2482,0.2901,18.29
360,0.2169,12.5903,0.2980,18.97
370,0.2227,12.4745,0.2940,18.97
380,0.2275,12.3825,0.2997,19.33
390,0.2296,12.3429,0.2931,19.33
400,0.2273,12.3855,0.2979,19.65
410,0.2255,12.4200,0.2985,20.24
420,0.2268,12.3953,0.2990,20.47
430,0.2267,12.3985,0.2956,20.47
440,0.2250,12.4300,0.3005,20.47
450,0.2265,12.4014,0.2994,20.53
460,0.2262,12.4076,0.2958,20.53
470,0.2249,12.4315,0.3018,20.53
480,0.2265,12.4007,0.3014,20.53
490,0.2260,12.4111,0.2972,20.53
500,0.2285,12.3628,0.2998,20.57
510,0.1912,13.1372,0.3136,21.41
520,0.1736,13.5576,0.3097,22.65
530,0.1717,13.6044,0.3079,22.91
540,0.1753,13.5156,0.3129,23.89
550,0.1747,13.5282,0.3131,24.05
560,0.1785,13.4364,0.3111,24.31
570,0.1752,13.5163,0.3203,24.96
580,0.1712,13.6180,0.3158,25.35
590,0.1575,13.9796,0.3217,25.64
600,0.1575,13.9786,0.3259,25.74
610,0.1603,13.9021,0.3157,25.74
620,0.1581,13.9636,0.3180,25.74
630,0.1584,13.9537,0.3248,25.74
640,0.1563,14.0131,0.3252,25.90
650,0.1556,14.0325,0.3284,25.90
660,0.1603,13.9018,0.3230,25.90
670,0.1442,14.3613,0.3307,27.43
680,0.1363,14.6086,0.3459,28.15
690,0.1329,14.7181,0.3593,29.62
700,0.1273,14.9043,0.3651,30.85
710,0.1259,14.9527,0.3723,31.24
720,0.1266,14.9276,0.3771,32.58
730,0.1292,14.8392,0.3630,33.37
740,0.1231,15.0512,0.3745,34.43
750,0.1251,14.9781,0.3712,34.43
760,0.1253,14.9736,0.3661,35.50
770,0.1273,14.9055,0.3664,36.78
780,0.1240,15.0163,0.3709,37.14
790,0.1196,15.1739,0.3775,37.17
800,0.1234,15.0389,0.3722,37.17
810,0.1246,14.9973,0.3739,37.17
820,0.1233,15.0425,0.3763,37.23
830,0.1245,15.0017,0.3734,37.27
840,0.1235,15.0340,0.3755,37.27
850,0.1245,15.0018,0.3706,37.27
860,0.1240,15.0169,0.3703,37.27
870,0.1250,14.9836,0.3762,37.30
880,0.1255,14.9643,0.3682,37.30
890,0.1206,15.1381,0.3804,37.62
900,0.1260,14.9476,0.3697,37.66
910,0.1257,14.9602,0.3708,38.27
920,0.1215,15.1070,0.3747,38.80
930,0.1187,15.2094,0.3836,38.96
940,0.1196,15.1754,0.3814,39.19
950,0.1201,15.1582,0.3828,39.41
960,0.1164,15.2922,0.3872,40.36
970,0.1185,15.2145,0.3900,41.07
980,0.1163,15.2968,0.3914,41.07
990,0.1154,15.3307,0.3920,41.07
