Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1022,15.8250,0.3812,0.81
10,0.0959,16.0992,0.4174,3.41
20,0.0887,16.4378,0.4553,4.73
30,0.0885,16.4469,0.4616,4.96
40,0.0880,16.4745,0.4704,6.29
50,0.0877,16.4866,0.4735,6.63
60,0.0883,16.4580,0.4708,6.36
70,0.0894,16.4031,0.4640,7.26
80,0.0887,16.4405,0.4672,7.72
90,0.0879,16.4796,0.4786,7.61
100,0.0869,16.5282,0.4855,7.80
110,0.0838,16.6841,0.5071,8.94
120,0.0829,16.7301,0.5120,9.57
130,0.0833,16.7117,0.5073,10.10
140,0.0840,16.6743,0.4978,9.54
150,0.0838,16.6831,0.5042,10.04
160,0.0852,16.6116,0.4870,9.76
170,0.0846,16.6443,0.4919,9.23
180,0.0848,16.6322,0.4821,7.80
190,0.0843,16.6582,0.4887,8.05
200,0.0877,16.4871,0.4714,7.18
210,0.0880,16.4722,0.4713,6.38
220,0.0886,16.4416,0.4669,5.60
230,0.0887,16.4404,0.4665,5.57
240,0.0889,16.4265,0.4615,5.53
250,0.0883,16.4590,0.4695,6.49
260,0.0888,16.4360,0.4634,5.62
270,0.0893,16.4083,0.4604,5.52
280,0.0894,16.4052,0.4581,5.25
290,0.0893,16.4074,0.4580,5.64
300,0.0886,16.4442,0.4722,6.96
310,0.0891,16.4209,0.4663,6.92
320,0.0892,16.4161,0.4635,6.62
330,0.0893,16.4110,0.4647,7.42
340,0.0889,16.4299,0.4727,7.21
350,0.0886,16.4450,0.4737,7.08
360,0.0883,16.4598,0.4766,7.67
370,0.0892,16.4152,0.4681,6.77
380,0.0892,16.4132,0.4634,6.66
390,0.0901,16.3722,0.4597,6.61
400,0.0892,16.4119,0.4644,7.19
410,0.0879,16.4781,0.4804,7.98
420,0.0875,16.4962,0.4816,7.90
430,0.0878,16.4836,0.4812,8.17
440,0.0870,16.5201,0.4846,8.26
450,0.0859,16.5782,0.4845,8.17
460,0.0876,16.4926,0.4869,9.61
470,0.0827,16.7424,0.4955,9.44
480,0.0827,16.7413,0.4950,9.09
490,0.0818,16.7891,0.4986,9.95
500,0.2417,12.1193,0.3521,9.24
510,0.2408,12.1353,0.3682,9.55
520,0.2351,12.2402,0.4001,8.80
530,0.2348,12.2455,0.3996,7.86
540,0.2338,12.2635,0.4051,6.64
550,0.2373,12.1985,0.4072,7.32
560,0.2363,12.2175,0.3994,6.19
570,0.2033,12.8714,0.4184,6.22
580,0.1814,13.3670,0.4228,7.92
590,0.1780,13.4471,0.4544,8.95
600,0.1765,13.4847,0.4531,9.33
610,0.1968,13.0128,0.4583,9.73
620,0.1968,13.0111,0.4560,8.76
630,0.2062,12.8099,0.4479,8.56
640,0.2004,12.9332,0.4415,8.06
650,0.2031,12.8761,0.4304,7.25
660,0.2240,12.4490,0.4130,5.82
670,0.2233,12.4631,0.4084,5.69
680,0.2266,12.3996,0.3994,7.01
690,0.2059,12.8156,0.4410,8.47
700,0.1790,13.4226,0.4520,9.30
710,0.1727,13.5805,0.4592,9.71
720,0.1551,14.0458,0.4709,10.05
730,0.1554,14.0383,0.4606,9.43
740,0.1511,14.1587,0.4666,9.09
750,0.1590,13.9370,0.4381,7.08
760,0.1591,13.9359,0.4376,6.89
770,0.1606,13.8940,0.4300,6.32
780,0.1622,13.8505,0.4138,6.85
790,0.1638,13.8079,0.4245,6.37
800,0.1633,13.8234,0.4227,6.00
810,0.1626,13.8409,0.4281,6.55
820,0.1623,13.8487,0.4332,6.54
830,0.1489,14.2246,0.4329,6.71
840,0.1402,14.4860,0.4374,6.72
850,0.1495,14.2065,0.4437,7.51
860,0.1532,14.0983,0.4417,7.55
870,0.1286,14.8600,0.4553,8.15
880,0.1399,14.4925,0.4508,7.93
890,0.1333,14.7051,0.4473,8.13
900,0.1250,14.9843,0.4362,7.56
910,0.1282,14.8727,0.4349,7.82
920,0.1260,14.9483,0.4472,8.12
930,0.1097,15.5504,0.4461,8.24
940,0.1257,14.9571,0.4069,8.26
950,0.1228,15.0601,0.3898,8.18
960,0.1491,14.2179,0.3536,7.42
970,0.1510,14.1610,0.3498,7.10
980,0.1666,13.7344,0.3384,7.68
990,0.1256,14.9626,0.3713,8.68
