Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1186,15.1783,0.4121,0.81
10,0.1144,15.3330,0.4456,2.28
20,0.1095,15.5221,0.4735,4.09
30,0.1087,15.5568,0.4773,5.18
40,0.1084,15.5671,0.4776,5.63
50,0.1096,15.5197,0.4608,6.65
60,0.1072,15.6146,0.4792,7.26
70,0.1073,15.6131,0.4820,7.32
80,0.1074,15.6067,0.4799,7.51
90,0.1074,15.6071,0.4804,7.58
100,0.1082,15.5758,0.4744,7.67
110,0.1090,15.5444,0.4612,8.14
120,0.1073,15.6118,0.4724,8.71
130,0.1053,15.6947,0.4837,10.55
140,0.1041,15.7453,0.4909,12.45
150,0.1032,15.7816,0.4989,13.12
160,0.1020,15.8322,0.5112,13.86
170,0.1017,15.8437,0.5114,13.96
180,0.1028,15.7987,0.4983,14.52
190,0.1006,15.8911,0.5168,16.31
200,0.1007,15.8891,0.5147,16.42
210,0.0986,15.9806,0.5332,14.66
220,0.0987,15.9746,0.5365,13.68
230,0.0989,15.9668,0.5359,13.38
240,0.0988,15.9682,0.5350,13.27
250,0.0989,15.9672,0.5355,12.95
260,0.0988,15.9713,0.5351,12.78
270,0.0990,15.9618,0.5344,12.72
280,0.0990,15.9619,0.5350,12.29
290,0.0990,15.9601,0.5338,11.93
300,0.1010,15.8737,0.5257,11.08
310,0.1015,15.8514,0.5207,10.72
320,0.1032,15.7808,0.5110,9.06
330,0.1054,15.6911,0.4990,8.09
340,0.1053,15.6946,0.4983,8.35
350,0.1064,15.6478,0.4948,8.67
360,0.1059,15.6694,0.4897,8.43
370,0.1064,15.6491,0.4915,8.32
380,0.1063,15.6506,0.4915,8.34
390,0.1053,15.6937,0.4931,9.22
400,0.1056,15.6825,0.4932,9.27
410,0.1056,15.6814,0.4936,9.35
420,0.1062,15.6583,0.4872,9.50
430,0.1060,15.6656,0.4893,9.39
440,0.1061,15.6598,0.4891,9.21
450,0.1063,15.6506,0.4885,9.12
460,0.1063,15.6508,0.4882,8.89
470,0.1057,15.6777,0.4931,8.95
480,0.1033,15.7776,0.5010,10.30
490,0.1030,15.7912,0.5042,10.95
500,0.3475,10.5428,0.2226,11.17
510,0.3436,10.5920,0.2280,10.64
520,0.3426,10.6048,0.2294,10.46
530,0.3416,10.6174,0.2288,10.34
540,0.3405,10.6307,0.2324,10.36
550,0.3372,10.6733,0.2453,10.24
560,0.3366,10.6806,0.2485,10.11
570,0.3368,10.6779,0.2472,9.94
580,0.3358,10.6917,0.2488,9.84
590,0.3237,10.8505,0.2526,9.81
600,0.2935,11.2757,0.2607,10.40
610,0.2925,11.2915,0.2619,9.99
620,0.2976,11.2160,0.2629,10.66
630,0.2903,11.3235,0.2785,12.27
640,0.2903,11.3235,0.2864,13.10
650,0.2853,11.3985,0.2864,13.19
660,0.2874,11.3670,0.2737,12.50
670,0.2888,11.3462,0.2737,11.98
680,0.2704,11.6314,0.2941,13.00
690,0.2642,11.7335,0.3017,13.45
700,0.2648,11.7225,0.3003,13.79
710,0.2639,11.7370,0.3067,13.76
720,0.2644,11.7294,0.3077,14.22
730,0.2636,11.7431,0.3078,14.51
740,0.2644,11.7288,0.3068,14.44
750,0.2665,11.6955,0.3009,13.80
760,0.2727,11.5953,0.2871,12.50
770,0.2750,11.5589,0.2713,11.46
780,0.2756,11.5493,0.2671,11.26
790,0.2747,11.5643,0.2691,11.41
800,0.2698,11.6411,0.2724,11.60
810,0.2604,11.7952,0.2758,11.11
820,0.2726,11.5965,0.2567,9.27
830,0.2731,11.5888,0.2594,10.42
840,0.2427,12.1007,0.2824,11.59
850,0.2420,12.1142,0.2815,11.88
860,0.2417,12.1198,0.2827,12.04
870,0.2419,12.1162,0.2834,12.20
880,0.2415,12.1226,0.2848,12.15
890,0.2403,12.1443,0.2875,12.27
900,0.2400,12.1497,0.2968,13.28
910,0.2360,12.2235,0.3055,14.28
920,0.2240,12.4505,0.3137,14.96
930,0.2187,12.5534,0.3258,15.55
940,0.2198,12.5327,0.3243,15.31
950,0.2183,12.5610,0.3290,15.42
960,0.2184,12.5595,0.3274,14.84
970,0.2181,12.5653,0.3285,14.24
980,0.2187,12.5545,0.3295,13.28
990,0.2156,12.6160,0.3282,12.27
