Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1130,15.3873,0.4582,0.81
10,0.1111,15.4597,0.4843,3.22
20,0.1128,15.3953,0.4910,5.23
30,0.0854,16.6017,0.5119,6.68
40,0.0773,17.0365,0.5292,8.56
50,0.0849,16.6297,0.5319,9.64
60,0.0862,16.5611,0.5272,10.49
70,0.0847,16.6394,0.5421,10.86
80,0.0847,16.6412,0.5418,10.91
90,0.0848,16.6353,0.5425,11.05
100,0.0759,17.1151,0.5662,12.12
110,0.0759,17.1164,0.5668,12.77
120,0.0761,17.1021,0.5665,12.93
130,0.0762,17.0975,0.5660,13.07
140,0.0760,17.1114,0.5666,13.73
150,0.0760,17.1107,0.5669,14.05
160,0.0760,17.1086,0.5657,14.01
170,0.0761,17.1063,0.5640,14.04
180,0.0759,17.1152,0.5644,14.10
190,0.0761,17.1054,0.5624,13.35
200,0.0781,16.9904,0.5495,12.12
210,0.0805,16.8596,0.5225,10.57
220,0.0820,16.7805,0.5066,9.51
230,0.0820,16.7808,0.5067,9.52
240,0.0818,16.7905,0.5052,10.49
250,0.0733,17.2671,0.5229,10.56
260,0.0744,17.1996,0.5231,10.41
270,0.0746,17.1919,0.5180,10.37
280,0.0795,16.9162,0.5175,10.39
290,0.0798,16.8979,0.5129,9.69
300,0.0795,16.9125,0.5148,9.98
310,0.0795,16.9125,0.5153,10.11
320,0.0800,16.8843,0.5165,10.77
330,0.0807,16.8497,0.5209,11.21
340,0.0816,16.8015,0.5137,11.39
350,0.0818,16.7882,0.5153,11.00
360,0.0829,16.7347,0.5142,11.82
370,0.0801,16.8819,0.5223,11.06
380,0.0783,16.9800,0.5325,11.66
390,0.0782,16.9852,0.5359,11.58
400,0.0793,16.9274,0.5371,13.11
410,0.0762,17.0975,0.5586,13.36
420,0.0759,17.1143,0.5605,13.55
430,0.0801,16.8830,0.5464,14.53
440,0.0768,17.0614,0.5604,14.38
450,0.0768,17.0658,0.5687,14.89
460,0.0672,17.6459,0.5783,15.77
470,0.0658,17.7371,0.5799,16.26
480,0.0593,18.1866,0.5883,16.86
490,0.0573,18.3365,0.5737,15.93
500,0.3314,10.7486,0.1919,15.18
510,0.3102,11.0362,0.2116,15.12
520,0.3038,11.1268,0.2178,14.94
530,0.2805,11.4732,0.2413,14.52
540,0.2649,11.7222,0.2689,15.24
550,0.2627,11.7575,0.2785,15.98
560,0.2620,11.7684,0.2817,16.47
570,0.2625,11.7613,0.2837,16.35
580,0.2679,11.6723,0.2830,15.80
590,0.2616,11.7764,0.2849,15.55
600,0.2629,11.7542,0.2820,15.17
610,0.2650,11.7190,0.2818,14.97
620,0.2636,11.7430,0.2840,13.58
630,0.2628,11.7563,0.2850,13.41
640,0.2521,11.9364,0.2802,12.21
650,0.2488,11.9939,0.2868,13.16
660,0.2443,12.0721,0.2992,13.94
670,0.2444,12.0719,0.3013,13.63
680,0.2541,11.9025,0.3022,12.98
690,0.2386,12.1757,0.3071,12.40
700,0.2360,12.2224,0.3078,12.52
710,0.2362,12.2203,0.3070,12.39
720,0.2401,12.1479,0.2917,10.73
730,0.2447,12.0660,0.2854,9.96
740,0.2464,12.0362,0.2847,9.81
750,0.2470,12.0257,0.2838,9.66
760,0.2472,12.0212,0.2833,9.57
770,0.2479,12.0095,0.2794,9.57
780,0.2473,12.0194,0.2838,9.76
790,0.2491,11.9876,0.2811,9.39
800,0.2743,11.5693,0.2739,9.16
810,0.2782,11.5085,0.2731,8.94
820,0.2733,11.5852,0.2722,8.91
830,0.2872,11.3707,0.2727,9.26
840,0.2579,11.8374,0.2830,9.68
850,0.2578,11.8386,0.2829,9.68
860,0.2577,11.8403,0.2829,9.67
870,0.2578,11.8393,0.2828,9.63
880,0.2573,11.8486,0.2793,10.84
890,0.2543,11.8979,0.2896,11.26
900,0.2557,11.8750,0.2814,10.37
910,0.2557,11.8746,0.2816,10.26
920,0.2538,11.9080,0.2817,10.36
930,0.2569,11.8548,0.2793,10.11
940,0.2756,11.5489,0.2735,9.82
950,0.2766,11.5340,0.2697,9.42
960,0.2767,11.5326,0.2699,9.45
970,0.2763,11.5378,0.2712,9.40
980,0.2766,11.5335,0.2698,9.32
990,0.2788,11.4993,0.2628,9.02
