Step,MSE,PSNR,SSIM,Percentage Explored
0,0.1306,14.7588,0.4171,0.81
10,0.1131,15.3841,0.4312,3.55
20,0.1094,15.5288,0.4415,4.55
30,0.1043,15.7334,0.4408,4.86
40,0.1015,15.8524,0.4541,5.17
50,0.1006,15.8901,0.4550,5.83
60,0.1016,15.8501,0.4538,6.07
70,0.1020,15.8337,0.4513,7.63
80,0.0964,16.0787,0.4676,9.29
90,0.0948,16.1497,0.4734,10.69
100,0.0945,16.1647,0.4732,11.89
110,0.0980,16.0073,0.4662,11.99
120,0.0990,15.9622,0.4648,12.06
130,0.0992,15.9534,0.4587,12.37
140,0.1017,15.8428,0.4512,13.00
150,0.0940,16.1864,0.4779,14.52
160,0.0932,16.2223,0.4742,15.81
170,0.0976,16.0247,0.4678,16.11
180,0.0960,16.0958,0.4662,17.72
190,0.0961,16.0917,0.4702,18.27
200,0.0973,16.0350,0.4617,19.14
210,0.0949,16.1454,0.4589,19.39
220,0.0737,17.2412,0.4595,21.03
230,0.0645,17.8202,0.4769,21.24
240,0.0622,17.9765,0.4890,20.93
250,0.0635,17.8921,0.4814,21.07
260,0.0641,17.8500,0.4824,20.73
270,0.0630,17.9272,0.4823,19.48
280,0.0626,17.9510,0.4855,18.47
290,0.0634,17.8968,0.4872,17.36
300,0.0652,17.7767,0.4893,16.41
310,0.0650,17.7917,0.4840,15.35
320,0.0687,17.5485,0.4568,14.79
330,0.0802,16.8787,0.4120,14.89
340,0.0815,16.8078,0.4017,15.06
350,0.0843,16.6571,0.3982,15.42
360,0.0788,16.9553,0.4040,15.31
370,0.0759,17.1133,0.4212,16.87
380,0.0702,17.4518,0.4489,18.33
390,0.0684,17.5666,0.4554,19.12
400,0.0660,17.7199,0.4671,19.09
410,0.0682,17.5783,0.4538,19.72
420,0.0683,17.5763,0.4452,19.49
430,0.0785,16.9710,0.4539,18.63
440,0.0992,15.9511,0.4554,17.82
450,0.0966,16.0662,0.4642,17.03
460,0.0998,15.9282,0.4493,17.61
470,0.0949,16.1430,0.4554,19.58
480,0.0955,16.1167,0.4706,19.86
490,0.0921,16.2766,0.4857,18.73
500,0.3283,10.7890,0.2083,18.30
510,0.3293,10.7757,0.2102,18.90
520,0.3220,10.8738,0.2145,19.23
530,0.3214,10.8821,0.2220,19.56
540,0.3092,11.0501,0.2325,19.57
550,0.2967,11.2287,0.2552,19.22
560,0.2684,11.6647,0.2338,18.73
570,0.2733,11.5859,0.2343,18.44
580,0.2575,11.8438,0.2402,18.36
590,0.2329,12.2806,0.2510,18.59
600,0.2434,12.0894,0.2503,19.14
610,0.2396,12.1564,0.2529,19.01
620,0.2385,12.1779,0.2434,18.13
630,0.2462,12.0393,0.2408,18.02
640,0.2434,12.0898,0.2477,17.91
650,0.2585,11.8279,0.2504,17.28
660,0.2646,11.7269,0.2477,15.76
670,0.2527,11.9253,0.2536,16.01
680,0.2349,12.2440,0.2578,16.48
690,0.2174,12.5795,0.2735,17.94
700,0.1878,13.2154,0.2841,18.84
710,0.1892,13.1835,0.2857,18.94
720,0.1935,13.0864,0.2905,18.56
730,0.1853,13.2728,0.2948,19.08
740,0.1845,13.2916,0.2969,18.12
750,0.1977,12.9917,0.2859,16.71
760,0.1964,13.0207,0.2838,16.27
770,0.1955,13.0415,0.2845,17.03
780,0.1918,13.1231,0.2907,18.54
790,0.2322,12.2939,0.2818,18.40
800,0.2404,12.1420,0.2746,17.94
810,0.2391,12.1672,0.2772,17.98
820,0.2361,12.2216,0.2769,17.86
830,0.2229,12.4714,0.2788,16.53
840,0.2519,11.9391,0.2597,15.23
850,0.2581,11.8341,0.2596,14.72
860,0.2570,11.8529,0.2545,13.91
870,0.2603,11.7971,0.2520,13.29
880,0.3055,11.1027,0.2384,12.23
890,0.3071,11.0788,0.2376,11.65
900,0.3288,10.7829,0.2304,11.45
910,0.2824,11.4437,0.2441,12.26
920,0.2819,11.4517,0.2460,12.64
930,0.2810,11.4649,0.2422,12.29
940,0.2808,11.4675,0.2391,12.30
950,0.2848,11.4075,0.2317,11.63
960,0.2945,11.2608,0.2290,10.88
970,0.3023,11.1475,0.2198,9.61
980,0.2939,11.2696,0.2311,9.48
990,0.2944,11.2628,0.2290,10.27
