Epoch,Batch,MSE,PSNR,SSIM
1,1,0.2257,6.3662,0.7743
1,2,0.2217,6.3548,0.6974
1,3,0.2321,6.0736,0.8298
1,4,0.2255,6.2706,0.8515
1,5,0.2110,6.5777,0.7762
1,6,0.2292,6.1400,0.7211
1,7,0.2189,6.3492,0.7931
1,8,0.2253,6.2428,0.8316
1,9,0.2348,6.0253,0.8073
1,10,0.2068,6.6207,0.7012
1,11,0.2043,6.7062,0.7555
1,12,0.1922,6.8957,0.7200
1,13,0.1706,7.4335,0.6502
1,14,0.1662,7.5171,0.6478
1,15,0.1489,8.0022,0.7741
1,16,0.1305,8.5732,0.7631
1,17,0.1264,8.7425,0.6751
1,18,0.1240,8.9395,0.7198
1,19,0.1010,9.8337,0.7057
1,20,0.0889,10.7476,0.8126
1,21,0.1125,9.6715,0.6505
1,22,0.0892,11.2320,0.7907
1,23,0.0978,11.0702,0.6899
1,24,0.0927,11.0730,0.6953
1,25,0.0729,12.8033,0.6500
2,1,0.0789,11.8248,0.6976
2,2,0.1339,9.6514,0.7803
2,3,0.1209,10.5947,0.6472
2,4,0.1148,10.2559,0.7860
2,5,0.1190,10.5193,0.6821
2,6,0.1135,10.4069,0.8441
2,7,0.0736,12.0095,0.8061
2,8,0.0839,12.3894,0.7556
2,9,0.0746,11.9831,nan
2,10,0.1061,11.1868,0.6412
2,11,0.1133,10.2517,0.7450
2,12,0.0794,11.8089,0.7318
2,13,0.1004,10.7383,0.7348
2,14,0.1313,9.3868,0.6388
2,15,0.0950,11.1346,0.7043
2,16,0.0814,11.2261,0.8399
2,17,0.0847,11.2882,0.5627
2,18,0.0812,11.0212,0.6923
2,19,0.0684,11.6787,0.7588
2,20,0.0946,10.3949,0.7319
2,21,0.0798,11.3200,0.7761
2,22,0.0814,10.9194,0.7062
2,23,0.0876,10.6622,0.6595
2,24,0.1035,10.1717,0.7036
2,25,0.0779,11.3118,0.7992
3,1,0.0892,11.0140,0.7020
3,2,0.0799,11.1466,0.8474
3,3,0.1135,9.6624,0.6710
3,4,0.0780,11.0242,0.7227
3,5,0.0993,10.2216,0.7040
3,6,0.1044,9.8989,0.6326
3,7,0.0971,10.2846,0.7598
3,8,0.0902,10.4417,0.7814
3,9,0.0752,11.1182,0.7571
3,10,0.0879,10.6657,0.7972
3,11,0.0808,10.8916,0.5901
3,12,0.0779,11.1422,0.8123
3,13,0.0985,10.6429,0.8025
3,14,0.1076,10.0386,0.7139
3,15,0.0922,10.8297,0.7045
3,16,0.0926,10.5345,0.8917
3,17,0.0715,11.4731,0.8022
3,18,0.0699,11.8428,0.7651
3,19,0.0914,10.9835,0.7278
3,20,0.0890,10.6095,0.7493
3,21,0.0685,12.0623,0.7913
3,22,0.0680,11.7932,0.7534
3,23,0.0826,10.9831,0.7744
3,24,0.0620,12.1850,nan
3,25,0.0953,10.8710,0.7032
4,1,0.0788,11.3141,0.7774
4,2,0.0890,10.7748,0.6768
4,3,0.0888,11.2517,0.7347
4,4,0.0944,10.6835,0.8141
4,5,0.0922,10.9305,0.8294
4,6,0.1039,10.2640,0.7723
4,7,0.0696,11.5705,0.7166
4,8,0.0752,11.3997,0.8339
4,9,0.0766,11.2791,0.8153
