Epoch,Batch,MSE,PSNR,SSIM
1,1,0.2015,6.7176,0.7293
1,2,0.1539,7.8921,0.6931
1,3,0.1080,9.4361,0.7587
1,4,0.0798,11.3277,0.8297
1,5,0.0822,11.6886,0.8375
1,6,0.1208,9.7931,0.7989
1,7,0.0796,11.6253,0.9376
1,8,0.1058,10.4182,0.7741
1,9,0.1021,10.3972,nan
1,10,0.0767,11.1795,0.7998
1,11,0.1029,9.7986,0.6871
1,12,0.0909,10.2987,0.7809
1,13,0.0870,10.4614,0.7186
1,14,0.0848,10.6555,0.7540
1,15,0.0672,11.6187,0.7806
1,16,0.0766,11.7838,0.7400
1,17,0.0679,12.2271,0.7997
1,18,0.1065,10.0774,0.7139
1,19,0.0901,10.7940,0.7627
1,20,0.0625,12.1241,0.8361
1,21,0.1033,10.2147,0.7373
1,22,0.0855,10.4775,0.7526
1,23,0.0798,10.8121,0.7769
1,24,0.0755,11.1248,0.7720
1,25,0.0779,11.0288,0.7959
2,1,0.0830,11.0166,0.7317
2,2,0.0672,12.0686,0.7999
2,3,0.0616,12.4846,0.8744
2,4,0.0732,11.8357,0.8496
2,5,0.0821,11.2768,0.7216
2,6,0.0817,11.1688,0.7725
2,7,0.0783,11.3581,0.7829
2,8,0.0791,11.1611,0.8205
2,9,0.0712,11.4694,0.7950
2,10,0.0634,11.8261,0.8403
2,11,0.0683,11.5159,0.7681
2,12,0.0735,11.5295,0.6955
2,13,0.0768,11.7225,0.7911
2,14,0.0830,10.9726,0.8014
2,15,0.0543,12.5344,0.8091
2,16,0.0696,12.1828,0.6796
2,17,0.0656,11.8994,0.8438
2,18,0.0732,11.4866,0.7314
2,19,0.0713,11.6339,0.7763
2,20,0.0877,10.8215,0.7202
2,21,0.0806,11.3870,0.7357
2,22,0.0788,10.9713,0.6476
2,23,0.0682,11.7723,0.8301
2,24,0.0587,12.2008,0.7503
2,25,0.0721,11.5587,0.7345
3,1,0.0519,13.0975,0.8742
3,2,0.0786,11.4581,0.7790
3,3,0.0796,11.3163,0.6922
3,4,0.0505,12.8436,0.8056
3,5,0.0717,12.3521,0.8038
3,6,0.0530,12.5779,0.8081
3,7,0.0666,11.6999,0.8114
3,8,0.0675,11.6806,0.8109
3,9,0.0567,12.4414,0.8575
3,10,0.0640,11.8934,0.8104
3,11,0.0655,11.8734,0.6780
3,12,0.0518,12.8621,0.8567
3,13,0.0625,12.2619,0.8283
3,14,0.0776,11.6571,nan
3,15,0.0561,12.3829,0.8230
3,16,0.0730,11.3127,0.7748
3,17,0.0670,11.8066,0.7738
3,18,0.0883,11.1173,0.7324
3,19,0.0787,11.8499,0.8303
3,20,0.0721,11.3357,0.7470
3,21,0.0565,12.7864,0.7697
3,22,0.0733,11.7799,0.8059
3,23,0.0607,12.0075,0.7820
3,24,0.0710,11.5696,0.7262
3,25,0.0616,12.4940,0.7287
4,1,0.0517,12.9515,0.7936
4,2,0.0741,11.6201,0.7256
4,3,0.0642,12.2136,0.7769
4,4,0.0730,11.5155,0.7393
4,5,0.0679,11.5781,0.8074
4,6,0.0699,11.6109,0.7504
4,7,0.0684,11.5359,0.7995
4,8,0.0552,12.3710,0.7909
4,9,0.0570,12.6798,0.7818
4,10,0.0547,12.6210,0.8858
4,11,0.0715,11.9283,0.8067
4,12,0.0634,12.2453,0.7911
4,13,0.0470,13.6286,0.8377
4,14,0.0798,12.0958,0.7472
4,15,0.0513,12.9324,0.8197
4,16,0.0664,12.2254,0.8180
